"Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price","Brand","Model"
"Kochi","2014","103788","Diesel","Manual","First","19.01","1461","108.5","5","5.67","Nissan","Terrano"
"Bangalore","2016","45000","Diesel","Automatic","First","19.6","1461","108.45","5","11.5","Renault","Duster"
"Pune","2009","120000","Petrol","Manual","First","18.9","998","67.1","5","1.69","Maruti","Wagon"
"Jaipur","2009","97359","Diesel","Manual","Second","17.1","1493","110","5","1.8","Hyundai","Getz"
"Mumbai","2016","62000","Petrol","Manual","First","18.5","1197","85.8","5","3.2","Maruti","Ritz"
"Kochi","2019","18373","Diesel","Automatic","First","22.48","1995","187.74","5","45.86","BMW","5"
"Hyderabad","2016","60453","Petrol","Manual","First","16.47","1198","74","5","5.1","Volkswagen","Polo"
"Mumbai","2010","69009","Petrol","Manual","Second","15.6","1196","70","5","2.4","Ford","Figo"
"Hyderabad","2013","30000","Diesel","Automatic","First","18.88","1995","184","5","22","BMW","3"
"Delhi","2012","70707","Diesel","Manual","First","22.32","1582","126.32","5","4.28","Hyundai","Verna"
"Coimbatore","2015","64677","Diesel","Manual","First","20.45","1461","83.8","5","5.67","Renault","Duster"
"Bangalore","2018","3000","Petrol","Automatic","First","18.9","1197","81.86","5","6.2","Hyundai","Grand"
"Bangalore","2013","49000","Diesel","Automatic","Second","17.05","1995","184","5","14.49","BMW","X1"
"Pune","2010","71000","Diesel","Manual","First","21.1","1248","73.9","5","3","Maruti","Ritz"
"Jaipur","2010","52000","Petrol","Manual","Second","19.81","1086","68.05","5","2.25","Hyundai","i10"
"Kochi","2016","35659","Diesel","Automatic","First","15.97","2993","258","7","43.78","BMW","X5"
"Kochi","2019","5377","Petrol","Manual","First","16.8","1497","116.3","5","11.45","Honda","City"
"Delhi","2014","65000","Diesel","Automatic","First","11.18","2696","184","7","10.5","Mahindra","Ssangyong"
"Coimbatore","2015","92708","Diesel","Manual","First","22.7","1498","89.84","5","7.48","Ford","Ecosport"
"Coimbatore","2010","48105","Petrol","Manual","First","19.7","796","46.3","5","3.1","Maruti","Alto"
"Mumbai","2011","46759","Petrol","Manual","First","16.47","1198","74","5","2.55","Volkswagen","Polo"
"Jaipur","2013","62000","Diesel","Manual","First","22.07","1199","73.9","5","3.5","Volkswagen","Polo"
"Kolkata","2012","35175","Diesel","Manual","First","22.07","1199","73.9","5","2.59","Volkswagen","Polo"
"Kolkata","2013","70000","Diesel","Manual","First","20.77","1248","88.8","7","5.45","Maruti","Ertiga"
"Kolkata","2017","30000","Diesel","Manual","First","22.77","1498","98.59","5","6","Ford","EcoSport"
"Kolkata","2016","66618","Diesel","Automatic","First","11.36","2755","171.5","7","15.49","Toyota","Innova"
"Mumbai","2010","69300","Petrol","Automatic","Second","10.8","2497","150","5","12.5","BMW","5"
"Kolkata","2017","148000","Diesel","Manual","First","23.4","1248","74","5","4.75","Maruti","Swift"
"Mumbai","2017","22000","Petrol","Manual","First","18.88","999","123.24","5","7.85","Ford","Ecosport"
"Ahmedabad","2013","75000","Diesel","Manual","First","16.8","1493","110","5","6","Hyundai","Verna"
"Mumbai","2016","43706","Petrol","Manual","First","17.57","1193","88.7","5","4","Tata","Zest"
"Mumbai","2011","42000","Diesel","Automatic","First","14.4","2967","241.4","5","28.75","Audi","A7"
"Pune","2012","65000","Diesel","Manual","First","22.3","1248","74","5","2.5","Tata","Indica"
"Delhi","2015","76128","Diesel","Manual","First","26.59","1248","74","5","5.5","Maruti","Swift"
"Kolkata","2010","39852","Petrol","Manual","First","16","1368","90","5","1.59","Fiat","Linea"
"Mumbai","2017","18673","Petrol","Manual","First","18.6","1197","81.83","5","6.22","Hyundai","i20"
"Kolkata","2016","11583","Petrol","Manual","First","21.1","814","55.2","5","2.75","Hyundai","EON"
"Pune","2017","50000","Diesel","Automatic","First","17.9","2143","136","5","25","Mercedes-Benz","GLA"
"Delhi","2014","77000","Petrol","Manual","First","23.1","998","67.04","5","2.8","Maruti","Celerio"
"Mumbai","2014","54890","Petrol","Manual","Second","17.8","1199","76.8","5","2.45","Chevrolet","Beat"
"Pune","2016","21000","Petrol","Automatic","First","19","1199","88.7","5","6.35","Honda","Jazz"
"Mumbai","2009","58557","Diesel","Automatic","Third","16.07","1995","181","5","8","BMW","3"
"Bangalore","2014","70000","Diesel","Manual","First","19.01","1461","108.45","5","8.25","Renault","Duster"
"Mumbai","2017","16000","Petrol","Automatic","First","17.01","1499","110.4","5","5.95","Ford","Figo"
"Kochi","2018","8899","Diesel","Manual","First","13.68","2393","147.8","7","19.92","Toyota","Innova"
"Kochi","2016","83629","Diesel","Manual","First","25.44","936","56.3","5","3.15","Chevrolet","Beat"
"Chennai","2014","35059","Petrol","Automatic","First","17.21","1798","189","4","5.75","Volkswagen","Polo"
"Kochi","2018","30552","Diesel","Automatic","First","10.91","3198","197.2","7","32.44","Ford","Endeavour"
"Kochi","2016","44875","Diesel","Automatic","Second","22.32","1582","126.32","5","8.01","Hyundai","Verna"
"Coimbatore","2017","25095","Petrol","Manual","First","18.16","1196","86.8","5","6.48","Ford","Figo"
"Jaipur","2007","59000","Petrol","Manual","First","16.1","796","37","4","0.75","Maruti","800"
"Kolkata","2014","36000","Diesel","Manual","First","26","1498","98.6","5","5","Honda","City"
"Mumbai","2012","37000","Diesel","Manual","First","16","2179","140","7","7.75","Mahindra","XUV500"
"Chennai","2010","90000","Diesel","Manual","First","20","1399","68","5","2.6","Ford","Figo"
"Pune","2018","17000","Petrol","Manual","First","17","1497","121.36","5","9.2","Ford","EcoSport"
"Mumbai","2015","42575","Petrol","Manual","First","18.6","1197","81.83","5","5.05","Hyundai","i20"
"Hyderabad","2012","131000","Diesel","Manual","First","12.99","2494","100","7","9.6","Toyota","Innova"
"Mumbai","2013","74000","Diesel","Manual","First","20.46","1461","83.8","5","5.5","Renault","Duster"
"Mumbai","2013","47234","Diesel","Manual","First","12.99","2494","100.6","8","9.35","Toyota","Innova"
"Delhi","2009","231673","Petrol","Manual","First","17","1497","118","5","2.6","Honda","City"
"Hyderabad","2016","10000","Petrol","Manual","First","24.07","998","67.1","5","3.5","Maruti","Alto"
"Kochi","2016","49389","Petrol","Manual","First","19.49","1198","67.04","5","4.26","Nissan","Micra"
"Chennai","2016","12000","Petrol","Automatic","Second","23.1","998","67.04","5","4.25","Maruti","Celerio"
"Hyderabad","2010","65000","Petrol","Manual","Second","11.7","1796","178","5","11.75","Mercedes-Benz","New"
"Chennai","2013","177000","Diesel","Manual","First","23.5","1498","88.7","5","3.5","Ford","Fiesta"
"Jaipur","2015","89000","Petrol","Manual","First","17.01","1591","121.3","5","7.5","Hyundai","Verna"
"Chennai","2009","72000","Petrol","Automatic","Third","15","1396","100","5","3.25","Hyundai","i20"
"Chennai","2012","49000","Petrol","Manual","First","17.5","1298","85.8","5","4.9","Maruti","Swift"
"Hyderabad","2014","51355","Diesel","Automatic","First","14.84","2143","170","5","27","Mercedes-Benz","New"
"Kochi","2017","13460","Petrol","Manual","First","18.6","1197","81.86","5","8.91","Hyundai","Elite"
"Kochi","2014","35642","Petrol","Automatic","First","17.01","1591","121.4","5","6.69","Hyundai","Verna"
"Kochi","2014","52895","Diesel","Manual","First","17.3","1998","163.7","5","6.02","Chevrolet","Cruze"
"Mumbai","2010","93000","Petrol","Manual","First","14.28","1798","138.03","5","4.5","Toyota","Corolla"
"Pune","2011","70000","Petrol","Manual","First","19","998","66.1","5","2","Maruti","A-Star"
"Kolkata","2012","32048","Diesel","Manual","First","23.08","1461","63.1","5","2.4","Nissan","Micra"
"Pune","2013","4700","Petrol","Manual","First","25.4","624","37.48","4","1.2","Tata","Nano"
"Delhi","2014","71800","Diesel","Manual","First","23.4","1248","74","5","2.9","Maruti","Swift"
"Ahmedabad","2016","45000","Diesel","Automatic","First","17.32","1968","184","5","27","Audi","Q3"
"Chennai","2016","15388","Diesel","Manual","First","25.8","1498","98.6","5","7.5","Honda","Amaze"
"Mumbai","2004","98798","Petrol","Manual","First","14.7","1599","104","5","1.5","Chevrolet","Optra"
"Hyderabad","2016","43000","Diesel","Automatic","First","14.16","1968","174.3","5","39.5","Audi","Q5"
"Hyderabad","2012","85112","Diesel","Manual","First","23.2","1248","73.94","5","3.39","Maruti","Ritz"
"Kochi","2018","37804","Diesel","Manual","First","15.4","2179","120","7","12.4","Mahindra","Scorpio"
"Chennai","2014","45000","Diesel","Manual","First","28.09","1248","88.5","5","6.85","Maruti","Ciaz"
"Pune","2011","116000","Diesel","Manual","Second","21.43","1364","138","5","5.75","Toyota","Corolla"
"Chennai","2015","100073","Diesel","Manual","Second","25","1396","69","5","2","Tata","Indica"
"Jaipur","2006","165000","Petrol","Manual","First","16.1","796","37","4","0.9","Maruti","800"
"Kolkata","2015","22000","Petrol","Manual","First","16.47","1198","74","5","3.8","Volkswagen","Polo"
"Delhi","2017","9500","Petrol","Automatic","First","14.62","1999","149.92","5","16.35","Hyundai","Elantra"
"Hyderabad","2012","152000","Diesel","Automatic","First","11.5","2982","169","7","16.5","Toyota","Fortuner"
"Coimbatore","2019","17705","Petrol","Manual","First","21.4","1197","83.1","5","8.7","Maruti","Baleno"
"Mumbai","2016","12000","Petrol","Manual","First","21.4","1197","83.1","5","6.1","Maruti","Baleno"
"Hyderabad","2013","51000","Diesel","Automatic","First","23.8","1998","112","5","21.94","Mini","Cooper"
"Chennai","2009","42000","Diesel","Automatic","Second","13","2987","210","5","22","Mercedes-Benz","S"
"Delhi","2015","51000","Petrol","Manual","First","20.92","998","67.1","5","2.65","Maruti","Alto"
"Kochi","2017","42527","Petrol","Manual","First","20.4","1197","81.8","5","5.27","Maruti","Swift"
"Kolkata","2014","45000","Diesel","Manual","First","22.1","1248","74","5","2.48","Chevrolet","Sail"
"Kolkata","2011","70000","Diesel","Manual","First","12.8","2494","102","8","6","Toyota","Innova"
"Mumbai","2009","92000","Diesel","Manual","First","11.5","2982","171","7","8.9","Toyota","Fortuner"
"Hyderabad","2012","57156","Diesel","Automatic","Second","18.88","1995","184","5","18","BMW","3"
"Coimbatore","2016","53211","Petrol","Manual","First","16.8","1395","138.02","5","11.64","Skoda","Octavia"
"Kolkata","2019","80000","Diesel","Manual","First","11.5","2982","171","7","8.99","Toyota","Fortuner"
"Bangalore","2009","74000","Diesel","Automatic","First","15.5","1896","105","5","5.25","Volkswagen","Jetta"
"Kolkata","2011","37000","Diesel","Manual","First","23","1396","90","5","2.95","Hyundai","i20"
"Mumbai","2013","64000","Diesel","Manual","Second","21.02","1248","88.76","5","2.65","Tata","Manza"
"Pune","2013","57197","Petrol","Manual","First","15.04","1598","103.6","5","4","Volkswagen","Vento"
"Chennai","2016","55000","Diesel","Automatic","First","17.6","1582","126.2","5","12.5","Hyundai","Creta"
"Mumbai","2014","33000","Petrol","Manual","First","21.1","1197","85.8","5","3.25","Maruti","Ritz"
"Delhi","2008","70000","Petrol","Manual","First","13.1","1997","141.1","5","4","Honda","CR-V"
"Delhi","2012","75000","Diesel","Manual","Second","15.1","2179","140","7","6.25","Mahindra","XUV500"
"Jaipur","2016","58095","Diesel","Manual","First","21.66","1498","108.62","5","5.8","Volkswagen","Ameo"
"Kolkata","2015","7445","Petrol","Manual","First","17.57","1193","88.7","5","5","Tata","Zest"
"Kochi","2016","17652","Diesel","Automatic","First","12.9","2993","270.88","5","58.73","Jaguar","XJ"
"Kochi","2018","28321","Petrol","Automatic","First","14.28","1798","138.03","5","17.49","Toyota","Corolla"
"Pune","2011","69000","Petrol","Manual","Second","19","998","66.1","5","1.95","Maruti","A-Star"
"Mumbai","2007","80000","Petrol","Automatic","First","11.1","2354","142","5","3","Honda","Accord"
"Delhi","2014","42365","Petrol","Manual","First","17","1197","80","5","5.5","Hyundai","i20"
"Delhi","2013","123000","Diesel","Automatic","First","12.55","2982","168.5","7","16.5","Toyota","Fortuner"
"Mumbai","2011","40000","Petrol","Automatic","Second","11.74","1796","186","5","14.5","Mercedes-Benz","New"
"Hyderabad","2016","30112","Diesel","Manual","First","27.39","1248","74","5","7.79","Maruti","Baleno"
"Kochi","2017","43775","Diesel","Manual","First","20.77","1248","88.76","7","8.27","Maruti","Ertiga"
"Kochi","2019","26013","Diesel","Automatic","First","12.65","2993","255","5","97.07","Land","Rover"
"Mumbai","2012","56000","Petrol","Manual","First","12.9","1598","102.5","5","2.15","Chevrolet","Optra"
"Hyderabad","2008","95000","Petrol","Automatic","Second","12.9","1799","130","5","3","Honda","Civic"
"Coimbatore","2014","41089","Diesel","Automatic","First","16.09","1995","184","5","28.79","BMW","X3"
"Mumbai","2011","41988","Diesel","Automatic","First","20","1968","138.1","5","5.45","Skoda","Laura"
"Delhi","2013","72486","Diesel","Manual","First","23.4","1248","74","5","3.95","Maruti","Swift"
"Pune","2013","92000","Diesel","Automatic","First","23.3","1984","150","5","16","Volvo","V40"
"Delhi","2013","40000","Petrol","Manual","First","17.5","1298","85.8","5","4.25","Maruti","Swift"
"Bangalore","2014","56000","Diesel","Automatic","First","12.7","2179","187.7","5","34.5","Land","Rover"
"Mumbai","2008","125000","Petrol","Automatic","Third","11.7","2354","177.6","5","2.6","Honda","Accord"
"Kochi","2017","29219","Diesel","Manual","First","12.99","2494","100.6","8","13.48","Toyota","Innova"
"Hyderabad","2018","39927","Diesel","Manual","First","12.55","2982","168.5","7","32.1","Toyota","Fortuner"
"Kochi","2018","38593","Petrol","Manual","First","18.7","1199","88.7","5","6.17","Honda","Jazz"
"Kolkata","2015","32000","Petrol","Manual","First","17","1497","118","5","5.5","Honda","City"
"Hyderabad","2017","28226","Diesel","Automatic","First","28.4","1248","73.75","5","9.15","Maruti","Dzire"
"Pune","2014","95000","Diesel","Manual","First","21.64","1461","84.8","5","4.5","Nissan","Sunny"
"Chennai","2014","194000","Diesel","Manual","First","12.99","2494","100.6","8","10.5","Toyota","Innova"
"Coimbatore","2016","14821","Petrol","Manual","First","19.4","1198","86.8","5","5.37","Honda","Brio"
"Bangalore","2012","52000","Petrol","Manual","First","15.04","1598","103.6","5","5.45","Volkswagen","Vento"
"Mumbai","2016","33000","Diesel","Manual","First","16","2179","140","7","9.25","Mahindra","XUV500"
"Chennai","2016","29200","Diesel","Manual","First","23","1498","98.96","5","7.7","Ford","EcoSport"
"Hyderabad","2012","99754","Diesel","Manual","First","17.72","1968","108.49","5","7.99","Skoda","Yeti"
"Chennai","2012","49000","Petrol","Manual","First","20.36","1197","78.9","5","3","Hyundai","i10"
"Hyderabad","2005","299322","Diesel","Manual","First","12.8","2494","102","8","4","Toyota","Innova"
"Coimbatore","2018","38310","Diesel","Manual","First","20.65","1248","88.7","5","6.69","Tata","Zest"
"Delhi","2014","56000","Diesel","Manual","First","22.9","1248","74","5","4.25","Maruti","Swift"
"Kolkata","2017","31300","Diesel","Automatic","First","21.72","1498","108.4","5","10.5","Skoda","Rapid"
"Coimbatore","2019","11241","Diesel","Manual","First","13.68","2393","147.8","8","22.55","Toyota","Innova"
"Pune","2014","48000","Petrol","Manual","Second","17.01","1591","121.3","5","5.2","Hyundai","Verna"
"Coimbatore","2019","23882","Petrol","Manual","First","17.4","1497","117.3","5","11.87","Honda","City"
"Hyderabad","2014","65000","Diesel","Manual","First","26","1498","98.6","5","6.99","Honda","City"
"Jaipur","2011","50000","Diesel","Manual","First","20.54","1598","103.6","5","5","Volkswagen","Vento"
"Chennai","2014","25000","Diesel","Automatic","First","12.19","2967","236","5","44","Audi","Q5"
"Chennai","2015","21000","Petrol","Manual","First","22.74","796","47.3","5","2.79","Maruti","Alto"
"Pune","2012","148000","Diesel","Manual","Second","21.12","1248","88.8","5","2.9","Tata","Manza"
"Delhi","2016","68000","Petrol","Manual","First","15.29","1591","121.3","5","9.85","Hyundai","Creta"
"Bangalore","2014","52000","Diesel","Automatic","First","12","2987","224","7","49","Mercedes-Benz","GL-Class"
"Jaipur","2016","19000","Diesel","Manual","First","16.55","2498","105","6","9.25","Mahindra","Thar"
"Mumbai","2011","74000","Diesel","Manual","Second","22.32","1582","126.3","5","3.75","Hyundai","Verna"
"Coimbatore","2017","30279","Diesel","Manual","First","26.1","1498","99","5","7.29","Ford","Aspire"
"Mumbai","2016","20000","Diesel","Automatic","First","20.7","1496","113.98","4","23.5","Mini","Cooper"
"Hyderabad","2013","34834","Petrol","Manual","First","14","796","35","5","2.6","Maruti","Omni"
"Pune","2015","90000","Diesel","Manual","Second","21.03","1461","65","5","3.1","Mahindra","Verito"
"Coimbatore","2016","38730","Diesel","Automatic","First","14.21","2143","203","5","29.98","Mercedes-Benz","E-Class"
"Kochi","2016","57390","Diesel","Manual","First","19.01","1461","108.45","5","6.73","Renault","Duster"
"Kolkata","2016","100000","Diesel","Manual","First","23.4","1248","74","5","3.5","Maruti","Swift"
"Kolkata","2011","50000","Petrol","Manual","First","16.47","1198","73.9","5","2.35","Volkswagen","Polo"
"Coimbatore","2017","64961","Diesel","Manual","First","16","2179","140","7","16.13","Mahindra","XUV500"
"Coimbatore","2014","72465","Petrol","Manual","First","16.47","1198","74","5","5.9","Volkswagen","Polo"
"Hyderabad","2012","68776","Petrol","Manual","First","21.1","1197","85.8","5","3.9","Maruti","Ritz"
"Delhi","2012","68000","Diesel","Manual","First","12.8","2494","102","7","6.95","Toyota","Innova"
"Delhi","2015","33000","Diesel","Manual","First","26","1498","98.6","5","7","Honda","City"
"Coimbatore","2017","22389","Petrol","Manual","First","17","1198","73.75","5","7.23","Volkswagen","Ameo"
"Mumbai","2012","90000","Diesel","Manual","First","21.5","1248","88.8","5","3.81","Maruti","SX4"
"Chennai","2012","42000","Petrol","Manual","Third","18.6","1197","85.8","5","4.5","Maruti","Swift"
"Pune","2017","38767","Diesel","Manual","First","19.67","1582","126.2","5","12.6","Hyundai","Creta"
"Bangalore","2015","21000","Diesel","Automatic","First","12.07","2967","241.4","7","48","Audi","Q7"
"Coimbatore","2010","59136","Petrol","Manual","First","19.7","796","46.3","5","2.96","Maruti","Alto"
"Kolkata","2014","36000","Diesel","Manual","First","25.8","1498","98.6","5","3.25","Honda","Amaze"
"Chennai","2011","95000","Diesel","Automatic","Second","18.33","1968","167.7","5","8.5","Volkswagen","Passat"
"Mumbai","2013","51000","Diesel","Automatic","First","19.5","1582","126.24","5","8.75","Hyundai","Elantra"
"Kochi","2011","36411","Petrol","Manual","First","18.9","998","67.1","5","3.08","Maruti","Wagon"
"Mumbai","2017","40000","Diesel","Automatic","First","12.81","1999","148.31","7","41.5","Land","Rover"
"Pune","2016","27300","Petrol","Manual","First","17.8","1497","117.3","5","7","Honda","City"
"Kochi","2011","29813","Petrol","Automatic","Second","14.74","1991","181.03","5","11.5","Mercedes-Benz","New"
"Pune","2011","71000","Petrol","Manual","First","20.51","998","67.04","5","2.6","Maruti","Wagon"
"Kolkata","2014","32000","Diesel","Manual","First","22.32","1582","126.3","5","4.3","Hyundai","Verna"
"Mumbai","2017","19234","CNG","Manual","First","17.5","1373","80.46","7","8.35","Maruti","Ertiga"
"Jaipur","2017","50510","Diesel","Automatic","First","17.06","1968","141","5","24.9","Volkswagen","Tiguan"
"Pune","2011","102000","Diesel","Automatic","First","15.06","1995","177","5","13.75","BMW","X1"
"Kolkata","2014","42277","Diesel","Manual","First","24","1186","73.97","5","3.85","Hyundai","Grand"
"Mumbai","2014","46000","Diesel","Automatic","First","13","2143","201.1","5","23.25","Mercedes-Benz","E-Class"
"Bangalore","2015","50000","Petrol","Manual","First","18.9","1197","82","5","5.75","Hyundai","Grand"
"Mumbai","2008","62000","Petrol","Manual","Second","20.36","1197","78.9","5","1.65","Hyundai","i10"
"Mumbai","2012","78000","Diesel","Manual","First","19.33","1968","138.1","5","6.5","Volkswagen","Jetta"
"Chennai","2011","79000","Diesel","Manual","First","17.67","1968","138.08","5","7.5","Skoda","Yeti"
"Kochi","2019","6773","Diesel","Automatic","First","14.75","2967","245","7","72.94","Audi","Q7"
"Chennai","2010","135000","Diesel","Manual","Second","11.5","2982","171","7","11","Toyota","Fortuner"
"Kochi","2013","36716","Petrol","Manual","First","18.9","1061","67","5","3.02","Maruti","Wagon"
"Coimbatore","2013","65060","Petrol","Manual","First","21.1","814","55.2","5","3.32","Hyundai","EON"
"Delhi","2013","33000","Petrol","Manual","First","19.4","1198","86.8","5","3.24","Honda","Brio"
"Kolkata","2015","11110","Petrol","Manual","First","22.74","796","47.3","5","2.35","Maruti","Alto"
"Jaipur","2013","63000","Diesel","Manual","First","15.96","2523","62.1","7","5.5","Mahindra","Bolero"
"Mumbai","2015","27030","Petrol","Manual","First","17.8","1497","117.3","5","6.75","Honda","City"
"Mumbai","2015","19600","Petrol","Manual","First","15","1598","103.52","5","6.15","Skoda","Rapid"
"Pune","2016","27755","Petrol","Manual","First","22","1197","81.8","5","5.45","Maruti","Swift"
"Hyderabad","2013","20000","Petrol","Manual","Second","21.1","814","55.2","5","2.3","Hyundai","EON"
"Kochi","2015","24782","Petrol","Manual","First","20.85","1197","83.14","5","6.21","Maruti","Swift"
"Coimbatore","2014","47303","Petrol","Automatic","First","19.34","1198","76","5","5.21","Nissan","Micra"
"Delhi","2008","71000","Petrol","Automatic","First","8.3","4134","250","7","11.99","Audi","Q7"
"Pune","2010","135000","Diesel","Manual","First","17.8","1248","75","5","3.1","Maruti","Swift"
"Jaipur","2017","1000","Diesel","Manual","First","13.49","2179","138.03","5","7.5","Tata","Xenon"
"Kolkata","2016","29000","Diesel","Manual","First","20.14","1498","88.8","5","4","Volkswagen","Polo"
"Kochi","2016","36367","Petrol","Manual","First","17.8","1497","117.3","5","7.73","Honda","City"
"Bangalore","2015","38000","Petrol","Manual","First","17.4","1497","117.3","5","7.8","Honda","City"
"Hyderabad","2011","83969","Petrol","Manual","First","16.1","796","37","4","1.3","Maruti","800"
"Jaipur","2014","82621","Diesel","Manual","First","20.14","1498","88.8","5","4.42","Volkswagen","Polo"
"Pune","2009","89000","Diesel","Automatic","First","12.5","1991","147.9","7","4","Chevrolet","Captiva"
"Kolkata","2016","54000","Diesel","Manual","First","16","2179","140","7","13","Mahindra","XUV500"
"Kochi","2015","61691","Diesel","Manual","First","25.8","1498","98.6","5","5.38","Honda","Amaze"
"Chennai","2011","32200","Petrol","Manual","Second","17","1197","80","5","3.25","Hyundai","i20"
"Jaipur","2016","68630","Petrol","Automatic","First","20.51","998","67","5","3.87","Maruti","Wagon"
"Mumbai","2014","61000","Diesel","Automatic","Second","16.96","1968","138.03","5","8.25","Volkswagen","Jetta"
"Mumbai","2018","32644","Petrol","Manual","First","20.73","1373","91.1","5","9.28","Maruti","Ciaz"
"Delhi","2012","85000","Diesel","Automatic","First","11.79","2179","120","7","6.25","Mahindra","Scorpio"
"Mumbai","2008","75000","Petrol","Manual","Second","15.26","1150","74.9","5","1.15","Chevrolet","Aveo"
"Kochi","2016","40347","Petrol","Manual","First","20.73","1373","91.2","5","7.8","Maruti","Ciaz"
"Hyderabad","2012","60788","Diesel","Manual","First","23","1396","90","5","4.5","Hyundai","i20"
"Kochi","2018","18664","Petrol","Manual","First","18.7","1199","88.7","5","7.56","Honda","Jazz"
"Coimbatore","2017","57847","Diesel","Manual","First","16","2179","140","7","16.08","Mahindra","XUV500"
"Bangalore","2012","52237","Petrol","Manual","First","17","1197","80","5","4.5","Hyundai","i20"
"Chennai","2012","128000","Diesel","Manual","First","22.32","1582","126.32","5","5","Hyundai","Verna"
"Delhi","2011","54000","Petrol","Manual","First","19.81","1086","68.05","5","2.2","Hyundai","i10"
"Bangalore","2014","49800","Petrol","Automatic","First","23.1","998","67.04","5","4","Maruti","Celerio"
"Kolkata","2012","98000","Diesel","Manual","First","20.86","1199","73.9","5","2.51","Skoda","Fabia"
"Delhi","2015","60095","Diesel","Manual","First","25.2","1248","74","5","4.75","Maruti","Swift"
"Pune","2008","68000","Petrol","Manual","Second","16","1086","66.7","5","2","Hyundai","i10"
"Jaipur","2010","81402","Petrol","Manual","Second","20.36","1197","78.9","5","2.1","Hyundai","i10"
"Mumbai","2013","38000","Petrol","Automatic","First","16.5","1499","110","5","6.25","Ford","Ecosport"
"Kochi","2011","92239","Diesel","Automatic","Second","11.5","2987","210","5","10.6","Mercedes-Benz","E-Class"
"Ahmedabad","2017","49224","Diesel","Manual","First","25.2","1248","74","5","6","Maruti","Swift"
"Jaipur","2004","12000","Petrol","Manual","Second","16.1","796","37","4","0.45","Maruti","800"
"Pune","2010","54898","Petrol","Manual","Third","16.1","1298","88.2","5","2.5","Maruti","Swift"
"Mumbai","2018","2500","Petrol","Manual","First","15.29","1591","121.3","5","12.75","Hyundai","Creta"
"Kochi","2017","32838","Diesel","Automatic","First","17.05","1995","190","5","30.29","BMW","X1"
"Hyderabad","2006","27076","Petrol","Manual","First","13.8","1299","70","5","1.6","Ford","Ikon"
"Kochi","2017","75445","Diesel","Manual","First","22.7","1498","89.84","5","7.54","Ford","Ecosport"
"Kochi","2015","46601","Petrol","Manual","First","20.73","1373","91.1","5","6.84","Maruti","Ciaz"
"Kolkata","2012","72000","Diesel","Automatic","First","18.33","1968","167.7","5","6","Volkswagen","Passat"
"Pune","2017","27000","Diesel","Manual","First","27.3","1498","98.6","5","8","Honda","Jazz"
"Coimbatore","2016","68193","Diesel","Automatic","First","17.11","1968","174.33","5","24.74","Audi","A4"
"Kochi","2017","34429","Diesel","Manual","First","24","1120","70","5","5.5","Hyundai","Grand"
"Delhi","2013","46000","Diesel","Automatic","First","12","2987","224","7","36","Mercedes-Benz","GL-Class"
"Coimbatore","2013","80544","Diesel","Manual","First","12.99","2494","100.6","7","11.79","Toyota","Innova"
"Jaipur","2011","42000","Petrol","Manual","Second","16.95","1498","97.7","5","3","Nissan","Sunny"
"Bangalore","2011","94821","Diesel","Automatic","Second","20","1968","138.1","5","6.75","Skoda","Laura"
"Jaipur","2006","100000","Petrol","Manual","First","14.49","1399","92.7","5","1.4","Chevrolet","Aveo"
"Mumbai","2014","57000","Diesel","Manual","First","24.2","1498","98.6","7","5.75","Honda","Mobilio"
"Hyderabad","2010","79894","Diesel","Manual","First","21.1","1248","73.9","5","3.4","Maruti","Ritz"
"Coimbatore","2011","44748","Petrol","Manual","Second","16.47","1198","73.9","5","4.89","Volkswagen","Polo"
"Mumbai","2013","31000","Petrol","Manual","First","13.24","1598","102.5","5","4.95","Nissan","Terrano"
"Coimbatore","2013","60587","Petrol","Automatic","Second","16.98","998","66.1","5","3.49","Maruti","A-Star"
"Pune","2014","43772","Petrol","Manual","First","17","1497","118","5","6.35","Honda","City"
"Coimbatore","2017","23576","Petrol","Automatic","First","18.9","1197","82","5","7.08","Hyundai","Grand"
"Hyderabad","2017","4000","Diesel","Automatic","First","13.6","1999","177","5","38","Jaguar","XE"
"Kolkata","2012","62000","Diesel","Manual","First","12.05","2179","120","8","6.25","Mahindra","Scorpio"
"Mumbai","2011","36000","Petrol","Automatic","First","11.74","1796","186","5","10.15","Mercedes-Benz","New"
"Delhi","2014","80000","Petrol","Automatic","First","13.7","1798","157.75","5","10.75","Skoda","Superb"
"Pune","2012","137008","Diesel","Automatic","First","18.1","1991","147.9","4","4.65","Chevrolet","Cruze"
"Delhi","2010","61001","Diesel","Manual","First","12.05","2179","120","8","4.75","Mahindra","Scorpio"
"Coimbatore","2015","52191","Petrol","Manual","First","17.1","1591","121.3","5","7.78","Hyundai","Verna"
"Hyderabad","2016","77076","Diesel","Manual","First","23","1396","90","5","6.75","Hyundai","i20"
"Hyderabad","2008","56000","Petrol","Automatic","First","16.4","1497","78","5","2.99","Honda","City"
"Kolkata","2013","21000","Petrol","Manual","First","20.36","1197","78.9","5","2.35","Hyundai","i10"
"Delhi","2013","89429","Diesel","Manual","First","25.8","1498","98.6","5","3.65","Honda","Amaze"
"Delhi","2012","45631","Petrol","Manual","Second","22.5","998","67.04","5","2.74","Maruti","Wagon"
